X,Y,OBJECTID,REF_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,OWNER,OPERNAME,RMP_ID,EPA_ID,POSREL,CAPACITY,US_RANK,CRUDE,VACDIST,COKING,THERMALOP,CATCRACK,CATREFORM,CATHYDCRCK,CATHYDTRT,ALKY,POLDIM,AROMATIC,ISOMER,LUBES,OXYGENATES,HYDRGN,COKE,SULFUR,ASPHALT
-84.6095099999999,37.07113,1,REF210002,SOMERSET,300 REFINERY ROAD,SOMERSET,KY,42501,2974,(606) 679-6301,VERY SMALL REFINERY,IN SERVICE,34,PULASKI,21199,USA,37.07113,-84.60951,324110,PETROLEUM REFINERIES,"EIA-820; EPA ENVIROFACTS",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.continentalrefiningco.com,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING COMPANY LLC,20583,100000167277,WITHIN 166 FEET,5500,134,5500,0,0,0,0,1000,0,2300,0,0,0,0,0,0,0,0,0,0
-111.91,40.86776,2,REF490003,WOODS CROSS,2355 SOUTH 1100 WEST,WOODS CROSS,UT,84087,NOT AVAILABLE,(801) 298-3211,VERY SMALL SIMPLE REFINERY,IN SERVICE,45,DAVIS,49011,USA,40.86776,-111.91,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://silvereagleenergy.com,SILVER EAGLE REFINING INC,SILVER EAGLE REFINING,33515,100000180699,WITHIN 166 FEET,15000,122,15000,7000,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0
-104.94518,39.80175,3,REF080004,COMMERCE CITY EAST,5801 BRIGHTON BLVD,COMMERCE CITY,CO,80022,NOT AVAILABLE,(303) 286-5788,SMALL SIMPLE REFINERY,IN SERVICE,420,ADAMS,08001,USA,39.80175,-104.94518,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.suncor.com,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,38031,100000119347,WITHIN 166 FEET,36000,107,36000,8500,0,0,9000,10000,0,11000,0,0,0,1970,0,0,0,0,2,0
-98.46019,29.3475700000001,4,REF480005,SAN ANTONIO,7811 S PRESA STREET,SAN ANTONIO,TX,78223,3547,(210) 918-7414,SMALL LUBRICANTS REFINERY,IN SERVICE,50,BEXAR,48029,USA,29.34757,-98.46019,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO,50434,100000200846,WITHIN 166 FEET,20000,117,20000,0,0,0,0,5600,0,14000,0,0,0,0,0,0,0,0,0,0
-75.25681,39.84038,5,REF340007,PAULSBORO,800 BILLINGSPORT ROAD,PAULSBORO,NJ,08027,1036,(856) 224-4354,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,427,GLOUCESTER,34015,USA,39.84038,-75.25681,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.pbfenergy.com,PBF ENERGY CO LLC,PAULSBORO REFINING CO LLC,51876,100000056734,WITHIN 166 FEET,160000,44,160000,90000,26500,0,54000,28500,0,144100,11200,0,0,0,12000,0,9,7500,280,21000
-94.90828,29.3676300000001,6,REF480008,TEXAS CITY,1301 LOOP 197 SOUTH,TEXAS CITY,TX,77590,NOT AVAILABLE,(409) 948-7296,LARGE COMPLEX REFINERY,IN SERVICE,509,GALVESTON,48167,USA,29.36763,-94.90828,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,51895,100000107886,WITHIN 166 FEET,225000,32,225000,133500,50825,0,81700,17195,0,286000,14700,0,0,6500,0,0,0,19000,680,0
-94.90798,29.3754200000001,7,REF480009,TEXAS CITY,502 10TH STREET SOUTH,TEXAS CITY,TX,77590,NOT AVAILABLE,(409) 943-7270,SMALL MEDIUM COMPLEXITY REFINERY THAT PROCESSES SWEET CRUDE,IN SERVICE,276,GALVESTON,48167,USA,29.37542,-94.90798,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,52497,100000059214,WITHIN 166 FEET,86000,73,86000,0,0,0,55600,10500,0,0,14500,0,2900,0,0,0,0,0,40,0
-95.01026,29.74285,8,REF480010,BAYTOWN,2800 DECKER DR/4500 BAYWAY DRIVE,BAYTOWN,TX,77520,2127,(281) 834-7342,VERY LARGE AND HIGHLY COMPLEX REFINERY,IN SERVICE,1307,HARRIS,48201,USA,29.74285,-95.01026,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.exxonmobilchemical.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,52558,100000062905,WITHIN 166 FEET,560500,2,560500,297000,91300,0,212500,120000,26500,794000,41000,0,0,0,28000,0,0,22750,1828,0
-89.96916,29.9335800000001,9,REF220011,CHALMETTE,500 WEST ST. BERNARD HWY,CHALMETTE,LA,70043,NOT AVAILABLE,(504) 281-1409,LARGE COMPLEX REFINERY,IN SERVICE,625,ST. BERNARD,22087,USA,29.93358,-89.96916,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://corporate.exxonmobil.com,PBF ENERGY CO LLC,CHALMETTE REFINING LLC,52710,100000093515,WITHIN 166 FEET,190000,37,190000,169000,26000,0,68000,19000,0,188600,16800,0,10500,0,0,0,0,9000,920,10000
-83.45156,41.67947,10,REF390012,TOLEDO,4001 CEDAR POINT ROAD,OREGON,OH,43616,NOT AVAILABLE,(419) 226-1475,MEDIUM COMPLEX REFINERY,IN SERVICE,465,LUCAS,39095,USA,41.67947,-83.45156,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.huskyenergy.com,BP HUSKY REFINING LLC,BP-HUSKY REFINING LLC,53062,100000088683,WITHIN 166 FEET,153000,48,153000,71500,32300,0,52400,40500,28600,113000,11500,0,0,0,0,0,0,10000,353,9000
-98.18771,28.45728,11,REF480013,THREE RIVERS,301 LEROY STREET,THREE RIVERS,TX,78071,0490,(361) 786-8242,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,302,LIVE OAK,48297,USA,28.45728,-98.18771,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,53371,100000093445,WITHIN 166 FEET,89000,71,89000,33500,0,0,23030,32757,27440,79000,6500,0,10800,6000,1900,0,0,0,134,0
-95.2535999999999,29.7218100000001,12,REF480014,HOUSTON,9701 MANCHESTER,HOUSTON,TX,77012,NOT AVAILABLE,(713) 923-3378,LARGE COMPLEX REFINERY,IN SERVICE,340,HARRIS,48201,USA,29.72181,-95.2536,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,54001,100000084605,WITHIN 166 FEET,191000,36,191000,38000,0,0,68300,0,64400,57600,11900,0,0,0,0,0,0,0,336,0
-107.10722,41.7821200000001,13,REF560015,SINCLAIR,100 E LINCOLN AVENUE (EAST LINCOLN HIGHWAY),SINCLAIR,WY,82334,NOT AVAILABLE,(307) 328-3548,MEDIUM COMPLEX REFINERY,IN SERVICE,332,CARBON,56007,USA,41.78212,-107.10722,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.sinclairoil.com,SINCLAIR OIL CORP,SINCLAIR WYOMING REFINING CO,54048,100000116867,WITHIN 166 FEET,85000,76,85000,41000,18000,0,20600,12600,15000,72000,4500,0,0,0,0,0,52,7000,207,8000
-95.2797,32.36172,14,REF480016,TYLER,1702 E COMMERCE STREET,TYLER,TX,75702,NOT AVAILABLE,(903) 579-3404,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,254,SMITH,48423,USA,32.36172,-95.2797,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.delekus.com,DELEK GROUP LTD,DELEK REFINING LTD,54266,100000077025,WITHIN 166 FEET,72000,86,72000,28000,6000,0,19000,17000,0,77000,4700,0,0,0,0,0,0,1500,39,0
-122.11327,38.0184400000001,15,REF060017,MARTINEZ,3485 PACHECO BLVD,MARTINEZ,CA,94553,NOT AVAILABLE,(925) 313-3462,LARGE HIGHLY COMPLEX REFINERY,IN SERVICE,774,CONTRA COSTA,06013,USA,38.01844,-122.11327,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.shell.us,ROYAL DUTCH/SHELL GROUP,SHELL OIL PRODUCTS US,54849,100000098164,WITHIN 166 FEET,156400,47,156400,102000,45200,0,67400,29800,39600,268000,12500,0,0,15000,0,0,193,9000,413,0
-101.88038,35.9552800000001,16,REF480018,SUNRAY,6701 FM 119,SUNRAY,TX,79029,NOT AVAILABLE,(806) 935-1354,MEDIUM COMPLEX REFINERY,IN SERVICE,435,MOORE,48341,USA,35.95528,-101.88038,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,55630,100000147913,WITHIN 166 FEET,195000,35,195000,50000,0,0,52500,45500,25500,130100,9800,0,0,6000,0,0,30,0,75,12000
-95.20804,29.7231,17,REF480019,PASADENA,111 RED BLUFF ROAD,PASADENA,TX,77506,1530,(713) 920-4152,MEDIUM SIZED COMPLEX REFINERY WITH A HIGH GASOLINE YIELD,IN SERVICE,345,HARRIS,48201,USA,29.7231,-95.20804,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.petrobras.com,PETROBRAS AMERICA INC,PASADENA REFINING SYSTEMS INC,55654,100000038274,WITHIN 166 FEET,112229,61,112229,38000,0,0,50440,21340,0,78000,12500,0,0,0,0,0,0,0,28,0
-93.330235178,30.1786669700001,18,REF220020,LAKE CHARLES,1601 HWY 108 E,SULPHUR,LA,70665,NOT AVAILABLE,(337) 708-8431,MODERN DEEP-CONVERSION FACILITY,IN SERVICE,1183,CALCASIEU,22019,USA,30.1786669700001,-93.330235178,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://citgorefining.com,PDV AMERICA INC,CITGO PETROLEUM CORP,55717,100000140199,WITHIN 166 FEET,425000,6,425000,230000,85410,0,143000,103035,46000,398200,26400,0,20900,28000,0,0,0,32820,717,0
-122.25522,38.0445700000001,19,REF060021,RODEO (SAN FRANCISCO),1380 SAN PABLO AVENUE,RODEO,CA,94572,NOT AVAILABLE,(510) 245-4400,MEDIUM COMPLEX REFINERY,IN SERVICE,445,CONTRA COSTA,06013,USA,38.04457,-122.25522,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,55938,100000145238,WITHIN 166 FEET,120200,58,120200,93200,47000,0,0,31000,59000,62500,0,0,0,17600,0,0,22,14500,560,0
-96.02106,36.1389,20,REF400022,TULSA WEST,1700 S UNION AVE,TULSA,OK,74107,2810,(918) 594-6284,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,285,TULSA,40143,USA,36.1389,-96.02106,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER TULSA REFINING LLC,55955,100000146567,WITHIN 1 MILE,85000,75,85000,32000,8800,0,0,0,0,49600,0,0,0,1800,9100,0,0,2750,0,6500
-118.14659,33.89872,21,REF060023,PARAMOUNT,14700 DOWNEY AVENUE,PARAMOUNT,CA,90723,NOT AVAILABLE,(562) 531-2060,SMALL LOW COMPLEXITY REFINERY,IN SERVICE,155,LOS ANGELES,06037,USA,33.89872,-118.14659,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.ppcla.com,ALON ISRAEL OIL COMPANY LTD,PARAMOUNT PETROLEUM CORPORATION,55991,100000080173,WITHIN 166 FEET,84500,77,0,30000,0,0,0,11500,0,36500,0,0,0,0,0,0,0,0,40,16500
-96.0007199999999,36.11992,22,REF400024,TULSA EAST,902 W 25TH STREET,TULSA,OK,74107,2810,(918) 594-6284,LARGE COMPLEX REFINERY,IN SERVICE,409,TULSA,40143,USA,36.11992,-96.00072,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,https://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER TULSA REFINING LLC,1000000095,100000033064,WITHIN 1 MILE,70300,87,0,27000,0,0,23100,21000,0,96000,5500,0,0,13000,0,0,0,0,75,15200
-87.9108199999999,37.9421600000001,23,REF180026,MOUNT VERNON,1200 REFINERY ROAD,MOUNT VERNON,IN,47620,NOT AVAILABLE,(812) 838-8133,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,190,POSEY,18129,USA,37.94216,-87.91082,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.countrymark.com,COUNTRYMARK COOP INC,COUNTRYMARK COOPERATIVE INC,1000000546,100000106501,WITHIN 166 FEET,28200,110,28200,14000,0,0,8200,5800,0,29000,2200,0,0,3200,0,0,0,0,9,3700
-80.6296599999999,40.61127,24,REF540027,NEWELL,9995 OHIO RIVER BOULEVARD,NEWELL,WV,26050,NOT AVAILABLE,(304) 387-4343,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,180,HANCOCK,54029,USA,40.61127,-80.62966,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.ergon.com/,ERGON INC,ERGON WEST VIRGINIA INC,1000000775,100000165019,WITHIN 166 FEET,22300,116,22300,8600,0,0,0,4500,0,24100,0,0,0,0,5100,0,3,0,1,700
-93.2847599999999,30.24224,25,REF220028,WESTLAKE,2800 OLD SPANISH TRAIL,WESTLAKE,LA,70669,5124,(337) 491-4992,MEDIUM LUBRICANTS REFINERY,IN SERVICE,98,CALCASIEU,22019,USA,30.24224,-93.28476,324110,PETROLEUM REFINERIES,"EIA-820; EPA ENVIROFACTS",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.fhr.com,EXCEL PARALUBES,EXCEL PARALUBES,1000001103,100000040387,WITHIN 166 FEET,0,139,0,0,0,0,0,0,41592,0,0,0,0,0,30000,0,0,0,185,0
-93.2702199999999,30.24116,26,REF220029,WESTLAKE,2200 OLD SPANISH TRAIL,WESTLAKE,LA,70669,NOT AVAILABLE,(337) 491-4443,LARGE MEDIUM COMPLEXITY REFINERY,IN SERVICE,705,CALCASIEU,22019,USA,30.24116,-93.27022,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,1000001105,100000039157,WITHIN 166 FEET,260000,21,260000,132000,52500,0,45200,37900,0,229000,6000,0,0,0,0,0,0,22500,440,2500
-93.00051,44.8515600000001,27,REF270030,SAINT PAUL PARK,301 ST PAUL PARK RD,SAINT PAUL PARK,MN,55071,NOT AVAILABLE,(651) 458-2694,MEDIUM REFINERY WITH HIGH COMPLEXITY,IN SERVICE,370,WASHINGTON,27163,USA,44.85156,-93.00051,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2020/06/19 00:00:00+00,IMAGERY/OTHER,2020/06/19 00:00:00+00,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,1000001449,100000079522,WITHIN 166 FEET,102000,63,98515,50600,0,0,31475,23655,0,112530,6650,0,0,11500,0,0,10,0,122,13400
-78.6346599999999,41.9648700000001,28,REF420031,BRADFORD,77 N KENDALL AVE,BRADFORD,PA,16701,NOT AVAILABLE,(814) 368-1283,VERY SMALL REFINERY,IN SERVICE,250,MCKEAN,42083,USA,41.96487,-78.63466,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.amref.com,AMERICAN REFINING GROUP INC,AMERICAN REFINING GROUP INC,1000002722,100000140563,WITHIN 166 FEET,11000,127,11000,0,0,0,0,1800,0,3600,0,0,0,0,2945,0,0,0,0,65
-110.80691,41.2603500000001,29,REF560032,EVANSTON,2990 COUNTY ROAD 180,EVANSTON,WY,82930,NOT AVAILABLE,(801) 298-3211,VERY SMALL SIMPLE REFINERY,IN SERVICE,26,UINTA,56041,USA,41.26035,-110.80691,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://silvereagleenergy.com,SILVER EAGLE REFINING INC,SILVER EAGLE REFINING,1000002815,100000065555,WITHIN 166 FEET,3000,136,3000,0,0,0,0,2650,0,3900,0,0,0,0,0,0,0,0,0,0
-158.09246,21.3037800000001,30,REF150033,EWA BEACH,91-325 KOMOHANA STREET,KAPOLEI,HI,96707,1713,(808) 265-9690,MEDIUM COMPLEX REFINERY,IN SERVICE,260,HONOLULU,15003,USA,21.30378,-158.09246,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.hawaiiindependentenergy.com,PAR PETROLEUM INC,HAWAII INDEPENDENT ENERGY LLC,1000003052,100000034107,WITHIN 166 FEET,93500,68,93500,40000,0,11000,0,13100,19000,13000,0,0,0,0,0,0,18,0,38,0
-118.23297,33.79637,31,REF060034,LOS ANGELES (WILMINGTON PLANT),2101 E PACIFIC COAST HIGHWAY,WILMINGTON,CA,90744,NOT AVAILABLE,(310) 522-6148,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,520,LOS ANGELES,06037,USA,33.79637,-118.23297,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2020/06/18 00:00:00+00,IMAGERY/OTHER,2020/06/18 00:00:00+00,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,1000003758,100000098681,WITHIN 166 FEET,94900,67,94900,65000,27200,0,30700,24800,27500,131000,12500,0,0,15600,0,0,15,12000,280,0
-111.92062,40.8386400000001,32,REF490035,NORTH SALT LAKE,333 W CENTER STREET,NORTH SALT LAKE,UT,84054,2805,(801) 296-7700,SMALL BUT MEDIUM COMPLEX REFINERY FOCUSED ON GASOLINE PRODUCTION,IN SERVICE,146,DAVIS,49011,USA,40.83864,-111.92062,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.bigwestoil.com,FJ MANAGEMENT INC,BIG WEST OIL CO,1000003874,100000147922,WITHIN 166 FEET,30500,109,30500,0,0,0,12100,8200,0,22500,3000,0,0,6800,0,0,0,0,4,0
-158.1118,21.3098800000001,33,REF150036,HONOLULU,91-480 MALAKOLE STREET,KAPOLEI,HI,96707,NOT AVAILABLE,(808) 682-2313,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,203,HONOLULU,15003,USA,21.30988,-158.1118,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,https://www.islandenergyservices.com,ISLAND ENERGY SERVICES LLC,ISLAND ENERGY SERVICES DOWNSTREAM,1000004005,100000084936,WITHIN 166 FEET,54000,98,54000,31000,0,0,21000,0,0,3500,5000,0,0,6400,0,0,3,0,0,0
-91.17958,30.4839000000001,34,REF220037,BATON ROUGE,4045 SCENIC HIGHWAY,BATON ROUGE,LA,70805,NOT AVAILABLE,(225) 977-8393,VERY LARGE COMPLEX REFINERY,IN SERVICE,1337,EAST BATON ROUGE,22033,USA,30.4839,-91.17958,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://corporate.exxonmobil.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,1000004754,100000091768,WITHIN 166 FEET,502500,4,502500,246100,117500,0,232500,73500,25700,520500,41000,0,0,0,16500,0,0,31525,800,0
-118.28705,33.77309,35,REF060038,WILMINGTON,1660 W. ANAHEIM STREET,WILMINGTON,CA,90744,NOT AVAILABLE,(310) 952-6038,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,411,LOS ANGELES,06037,USA,33.77309,-118.28705,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,1000004777,100000146843,WITHIN 166 FEET,139000,54,139000,82000,48300,0,48700,30800,26240,150700,16000,0,0,19000,0,0,105,16800,370,0
-122.39626,47.2570900000001,36,REF530039,TACOMA,3001 MARSHALL AVENUE,TACOMA,WA,98421,3116,(253) 383-1651,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,170,PIERCE,53053,USA,47.25709,-122.39626,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.usor.com,TRAILSTONE LP,US OIL & REFINING CO,1000005234,100000127864,WITHIN 166 FEET,40700,103,40700,19200,0,0,0,6400,0,18600,0,0,0,4500,0,0,0,0,11,8000
-93.4113599999999,32.79952,37,REF220040,COTTON VALLEY,1756 OLD HWY 7,COTTON VALLEY,LA,71018,NOT AVAILABLE,(318) 832-4236,SMALL LUBRICANTS REFINERY,IN SERVICE,42,WEBSTER,22119,USA,32.79952,-93.41136,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO LP,1000005936,100000102603,WITHIN 166 FEET,13020,125,13020,0,0,0,0,0,0,6200,0,0,0,500,0,0,2,0,0,0
-111.29321,47.52363,38,REF300041,GREAT FALLS,1900 10TH STREET NE,GREAT FALLS,MT,59404,NOT AVAILABLE,(406) 454-9887,VERY SMALL BUT COMPLEX REFINERY CAPABLE OF PROCESSING THE HEAVIEST CRUDE,IN SERVICE,95,CASCADE,30013,USA,47.52363,-111.29321,324110,PETROLEUM REFINERIES,"EIA-820; EPA TRI",2017/01/01 00:00:00+00,IMAGERY/OTHER,2018/01/31 00:00:00+00,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET MONTANA REFINING LLC,1000006043,100000116581,WITHIN 166 FEET,33600,108,24000,20000,0,0,2750,900,23200,14500,700,0,0,1500,0,0,20,0,0,10000
