OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,IMAGE
52,CHEYENNE,2700 EAST 5TH STREET,CHEYENNE,WY,SMALL COMPLEX REFINERY,IN SERVICE,300,LARAMIE,41.12768,-104.78969,http://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER CHEYENNE REFINING LLC,47000,99,47000,https://drive.google.com/uc?id=1vr5D3VcwrO6Q16H015D1_neG66-n1V31
53,EL DORADO,1000 MCHENRY ST,EL DORADO,AR,SMALL REFINERY,IN SERVICE,327,UNION,33.19927,-92.67513,http://www.lionoil.com,DELEK GROUP LTD,LION OIL CO,83000,79,83000,https://drive.google.com/uc?id=11PZ81uTbxiU34gLiuECMQ726kTZ5QNtW
54,VICKSBURG,2611 HAINING ROAD,VICKSBURG,MS,SMALL SCALE SPECIALIST NAPHTHENIC PROCESS OIL PRODUCER,IN SERVICE,180,WARREN,32.38658,-90.90825,http://ergon.com,ERGON INC,ERGON REFINING INC,26500,111,26500,https://drive.google.com/uc?id=15U1Chzon57hUM1oK2zoLmmvtrSEPJhDA
55,SILSBEE,7752 WEST FM 418,SILSBEE,TX,SMALL AROMATICS PRODUCER,IN SERVICE,125,HARDIN,30.39826,-94.22855,http://www.southhamptonr.com,TEXAS OIL & CHEMICAL CO,SOUTH HAMPTON RESOURCES INC,0,140,0,https://drive.google.com/uc?id=1BKDmVGYexDzZN2IOrsNR8VJJR-gjl9UL
56,LEMONT,135TH STREET AND NEW AVE,LEMONT,IL,LARGE COMPLEX REFINERY,IN SERVICE,513,WILL,41.65374,-88.04839,http://www.citgo.com,PDV AMERICA INC,PDV MIDWEST REFINING LLC,175940,42,175940,https://drive.google.com/uc?id=1ln7PMsgMtwxvGliageeYW8K38qa52w8Z
57,BILLINGS,401 S 23RD STREET,BILLINGS,MT,SMALL BUT COMPLEX REFINERY WITH A HIGH CLEAN PRODUCT YIELD,IN SERVICE,296,YELLOWSTONE,45.78061,-108.48972,http://www.conocophillips.com/,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,60000,93,60000,https://drive.google.com/uc?id=1YrJHJFnbtX7TyB0iyDfn4SK4W3Ez3NQk
58,WARREN,15 BRADLEY STREET,WARREN,PA,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,643,WARREN,41.8297,-79.12742,http://www.urc.com,RED APPLE GROUP INC,UNITED REFINING CO,65000,90,65000,https://drive.google.com/uc?id=1M1ydWCZm8DkoAbjRBta5Hmme6Lf572hF
59,ANACORTES,8505 S. TEXAS RD,ANACORTES,WA,MEDIUM TO LARGE COMPLEX REFINERY,IN SERVICE,477,SKAGIT,48.47182,-122.55912,http://www.shell.us,ROYAL DUTCH/SHELL GROUP,SHELL OIL PRODUCTS US,145000,53,145000,https://drive.google.com/uc?id=1dEkPMV3LPIjwNHiDbLZtITtbf0StbHzs
60,NORCO,15536 RIVER RD,NORCO,LA,LARGE COMPLEX REFINERY WITH A HIGH GASOLINE YIELD,IN SERVICE,1200,ST. CHARLES,30.00314,-90.40214,https://www.shell.us,ROYAL DUTCH SHELL,SHELL OIL PRODUCTS US (REFINING),225800,30,225800,https://drive.google.com/uc?id=1chjkDAaFhE5l4TsVJWJwj3t52GkUMFbv
61,TUSCALOOSA,1855 FAIRLAWN RD,TUSCALOOSA,AL,SMALL / MEDIUM SIZED REFINERY,IN SERVICE,259,TUSCALOOSA,33.2005,-87.60783,http://www.huntrefining.com,HUNT CONSLD INC,HUNT REFINING CO,36000,106,36000,https://drive.google.com/uc?id=1GrYyUrwXRwRgpKA0PpKS6AmykJOrk2tk
62,CORPUS CHRISTI,1802 NUECES BAY BLVD.,CORPUS CHRISTI,TX,LARGE COMPLEX REFINERY,IN SERVICE,665,NUECES,27.80941,-97.42639,http://citgorefining.com/,PDV AMERICA INC,CITGO REFINING & CHEMICAL INC,157500,46,157500,https://drive.google.com/uc?id=1o3-Rxrm2meZ8MmNLW0q8egyTXZsdh3p5
63,WOODS CROSS,393 SOUTH 800 WEST,WOODS CROSS,UT,SMALL BUT HIGHLY COMPLEX REFINERY,IN SERVICE,188,DAVIS,40.887,-111.90389,http://www.hollyfrontier.com,HOLLYFRONTIER CORP,HOLLYFRONTIER WOODS CROSS REFINING L,39330,104,39330,https://drive.google.com/uc?id=1SXwfy06sP17PDMIIGyG2aQwXf9UwVf57
64,PORT ARTHUR,1801 S GULFWAY DRIVE,PORT ARTHUR,TX,LARGE COMPLEX REFINERY,IN SERVICE,840,JEFFERSON,29.86055,-93.96562,http://www.valero.com,VALERO ENERGY CORP,PREMCOR REFINING GROUP INC,335000,11,335000,https://drive.google.com/uc?id=16c2pYHsYjsIaNzgxqElfjC9jLUigSXan
65,TOLEDO,1819 WOODVILLE ROAD,OREGON,OH,HIGH CONVERSION LIGHT/SWEET REFINERY,IN SERVICE,525,LUCAS,41.6328,-83.5019,http://www.pbfenergy.com,PBF ENERGY CO LLC,TOLEDO REFINING CO LLC,160000,45,160000,https://drive.google.com/uc?id=1DmuAkzRb7zmD5ClaAdMBzkae0J-6JEMi
66,BELLE CHASSE,15551 HWY 23,BELLE CHASSE,LA,MEDIUM SIZED COMPLEX REFINERY,IN SERVICE,354,PLAQUEMINES,29.68239,-89.97501,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,247000,22,247000,https://drive.google.com/uc?id=1FwaNjshvSyqOluomNRLtU-C2kSm0dfFF
67,KROTZ SPRINGS,356 S LEVEE ROAD,KROTZ SPRINGS,LA,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,208,ST. LANDRY,30.5256,-91.75003,http://www.alonusa.com,ALON ISRAEL OIL COMPANY LTD,ALON REFINING KROTZ SPRINGS INC,80000,80,80000,https://drive.google.com/uc?id=1MqNHZhr-aZdOojk-1TVYF9eY-UpJX6Vv
68,EL SEGUNDO,324 W EL SEGUNDO BLVD,EL SEGUNDO,CA,LARGE FUELS REFINERY,IN SERVICE,1200,LOS ANGELES,33.91022,-118.40949,https://www.chevron.com/,CHEVRON CORP,CHEVRON USA INC,269000,19,269000,https://drive.google.com/uc?id=1R7hMgNLECqRtmtOL9yas63fAr2aD19Yw
69,JOLIET,25915 SE FRONTAGE ROAD,CHANNAHON,IL,LARGE COMPLEX REFINERY,IN SERVICE,576,WILL,41.41383,-88.18346,http://corporate.exxonmobil.com,EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,238600,26,238600,https://drive.google.com/uc?id=1MxvHrlYfLpCK7b1lMc0QPbjHl1q_pEvj
70,PHILADELPHIA (PES REFINING COMPLEX),3144 PASSYUNK AVE,PHILADELPHIA,PA,LARGE MEDIUM COMPLEXITY REFINERY,IN SERVICE,830,PHILADELPHIA,39.90319,-75.20799,http://www.pes-companies.com,CARLYLE GROUP,PHILADELPHIA ENERGY SOLUTIONS,310000,13,310000,https://drive.google.com/uc?id=1iPKqBPIDfD7A3bcMe8dthSzb6XIRt1Ap
71,PONCA CITY,1000 S PINE STREET,PONCA CITY,OK,LARGE HIGH-CONVERSION REFINERY,IN SERVICE,850,KAY,36.68193,-97.09105,http://www.phillips66.com,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,200000,34,200000,https://drive.google.com/uc?id=1D85Nmtv4tsOw5lA6Pg2sSHbsgB003BDU
72,PASCAGOULA,250 INDUSTRIAL ROAD,PASCAGOULA,MS,LARGE AND VERY COMPLEX REFINERY,IN SERVICE,1610,JACKSON,30.34345,-88.48672,https://www.chevron.com/,CHEVRON CORP,CHEVRON USA INC,340000,9,340000,https://drive.google.com/uc?id=1m7wjylPxebLBnsiKlwes_NOGk1P9uPfK
73,VALDEZ,2.5 MILE DAYVILLE ROAD,VALDEZ,AK,SMALL SIMPLE REFINERY,IN SERVICE,38,VALDEZ-CORDOVA,61.08396,-146.25057,http://www.petrostar.com,ARCTIC SLOPE REGIONAL CORP,PETRO STAR INC,55000,96,55000,https://drive.google.com/uc?id=1EChu-v6gVLOpzB6D8JxV6GHoQxTcil2t
74,DELAWARE CITY,4550 WRANGLE HILL ROAD,DELAWARE CITY,DE,LARGE COMPLEX REFINERY,IN SERVICE,600,NEWCASTLE,39.5873,-75.63058,http://www.pbfenergy.com,PBF ENERGY CO LLC,DELAWARE CITY REFINING CO LLC,182200,40,182200,https://drive.google.com/uc?id=14ZLXlcoNbAvcLvOBIiC1T9mk_a1kWFYE
75,SOUTH GATE,9302 GARFIELD AVENUE,SOUTH GATE,CA,VERY SMALL REFINERY,IN SERVICE,62,LOS ANGELES,33.9463,-118.16704,http://www.lundaythagard.com,WORLD OIL CO,LUNDAY THAGARD CO,8500,129,8500,https://drive.google.com/uc?id=1pkrFX5mPOg4j1QKFWIUa45NneJAinSye
76,SALT LAKE CITY,474 WEST 900 NORTH,SALT LAKE CITY,UT,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,260,SALT LAKE,40.79395,-111.90812,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,63000,91,57500,https://drive.google.com/uc?id=1mxTAmysFdStC1_a6ckoRSQdgD1yngKP_
77,EL PASO,6500 TROWBRIDGE DRIVE/212 N CLARK DR,EL PASO,TX,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,440,EL PASO,31.76949,-106.4036,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,122000,57,122000,https://drive.google.com/uc?id=1eqjVtfLQQo3-Gy64h9YyAuAKidYMecUy
78,CORPUS CHRISTI EAST AND WEST,1607 NUECES BAY BLVD,CORPUS CHRISTI,TX,VERY LARGE COMPLEX REFINERY,IN SERVICE,22,NUECES,27.80624,-97.42306,http://www.fhr.com,KOCH INDUSTRIES INC,FLINT HILLS RESOURCES LP,296470,14,296470,https://drive.google.com/uc?id=1VJT0XldpoJ1q7ADFYeGkrG28WQRW7tMS
79,ANACORTES,WEST MARCH'S POINT ROAD,ANACORTES,WA,MEDIUM TO LARGE COMPLEX REFINERY,IN SERVICE,390,SKAGIT,48.49396568,-122.5659765,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,120000,59,120000,https://drive.google.com/uc?id=1QwxxGJny3s1a5rCyy2KVH0keh8ZG87z0
80,GARYVILLE,4663 WEST AIRLINE HWY,GARYVILLE,LA,VERY LARGE COMPLEX REFINERY,IN SERVICE,930,ST. JOHN THE BAPTIST,30.06129,-90.59639,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,543000,3,543000,https://drive.google.com/uc?id=1jU55u1Eh-2hfHJJDEzYfAu6DmnTCNgJj
81,NEW CASTLE,740 WEST MAIN STREET,NEWCASTLE,WY,VERY SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,94,WESTON,43.84958,-104.21464,http://www.parpacific.com,PAR PETROLEUM INC,HERMES CONSOLIDATED LLC,18000,120,18000,https://drive.google.com/uc?id=1roud8qw3B04AthWi0ApeERA4G1O_Uo0b
82,BORGER,SPUR 119 NORTH,BORGER,TX,MEDIUM SIZED REFINERY INCLUDES AN NGL FRACTIONATION FACILITY,IN SERVICE,709,HUTCHINSON,35.69769,-101.36159,http://www.phillips66.com,WRB REFINING LP (PHILLIPS66/CENOVUS),PHILLIPS 66 COMPANY,146000,51,146000,https://drive.google.com/uc?id=1w1ZsGvZTItBXACnudzcFcsSpyq5WQKin
83,LIMA,1150 SOUTH METCALF STREET,LIMA,OH,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,393,ALLEN,40.71772,-84.12643,http://www.huskyenergy.com,HUSKY ENERGY INC,LIMA REFINING COMPANY,177000,41,177000,https://drive.google.com/uc?id=1K-DIUVBgw1wcNPOdxzoghcLojeO5qadY
84,KENAI,54741 TESORO ROAD,KENAI,AK,MEDIUM SIZED FUELS REFINERY,IN SERVICE,230,KENAI PENINSULA,60.68387,-151.36605,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,72000,85,62700,https://drive.google.com/uc?id=1XnOkXM14BmH5dd8BHxcg1VVVlglrSFfD
85,MERAUX,2500 EAST ST. BERNARD HWY,MERAUX,LA,MEDIUM COMPLEX REFINERY,IN SERVICE,274,ST. BERNARD,29.93542,-89.93908,http://www.valero.com,VALERO ENERGY CORP,VALERO ENERGY CORPORATION,125000,56,125000,https://drive.google.com/uc?id=1im5ia3ukLdbdBWYx1dt_N1cISGFadqp_
86,WYNNEWOOD,906 S. POWELL,WYNNEWOOD,OK,SMALL MEDIUM COMPLEXITY REFINERY WITH BOTH FCC & HYDROCRACKER,IN SERVICE,260,GARVIN,34.63057,-97.16788,http://www.cvrrefining.com,CVR ENERGY,WYNNEWOOD REFINING CO,70000,88,70000,https://drive.google.com/uc?id=1mnrAyPiJFOhdys5NATOcsHGKLzkeq7Nu
87,SAINT PAUL,12555 CLARK RD,ROSEMOUNT,MN,LARGE HIGHLY COMPLEX REFINERY THAT PROCESSES VERY HEAVY CRUDES,IN SERVICE,918,DAKOTA,44.76598,-93.04178,http://www.fhr.com,KOCH INDUSTRIES INC,FLINT HILLS RESOURCES LP,290000,16,290000,https://drive.google.com/uc?id=1kgJfSSldlT5A0jemNcX8Yf5GxDIPEHrd
88,LAKE CHARLES,4359 WEST TANK FARM RD,LAKE CHARLES,LA,SMALL SIMPLE REFINERY,IN SERVICE,38,CALCASIEU,30.13371,-93.32054,http://www.calcasieurefining.com,TRANSWORLD OIL USA INC,CALCASIEU REFINING CO,104000,62,104000,https://drive.google.com/uc?id=1m3PAuwSHILu0mcrPIc2RkEdqYe8E4OSQ
89,PORT ARTHUR,HWY 366 AND 32ND STREET,PORT ARTHUR,TX,LARGE COMPLEX REFINERY,IN SERVICE,500,JEFFERSON,29.96016,-93.88862,http://www.totalpetrochemicalsusa.com,TOTAL SA,TOTAL PETROCHEMICALS & REFINING USA,225500,31,225500,https://drive.google.com/uc?id=1f7Vzq2hymawTGwxOyiDA8ktfMfh6J-xW
90,CANTON,2408 GAMBRINUS AVE SW,CANTON,OH,SMALL MEDIUM COMPLEXITY REFINERY,IN SERVICE,361,STARK,40.77343,-81.41391,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,93000,69,93000,https://drive.google.com/uc?id=1w_G8mt9Wz5HHRFAnbOwfXhYaZuJmEDD3
91,GALLUP,"92 GIANT CROSSING ROAD, I-40 AT EXIT 39",JAMESTOWN,NM,SMALL REFINERY WITH SOME CRACKING CAPABILITY,IN SERVICE,220,MCKINLEY,35.48885,-108.42582,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORPORATION,MARATHON PETROLEUM CORPORATION,25500,113,25500,https://drive.google.com/uc?id=1Zo2g7hiftfeAe9ZvfN14m5nd1MmD1FzS
92,ARDMORE,1 VALERO WAY,ARDMORE,OK,SMALL MEDIUM COMPLEXITY REFINERY CAPABLE OF PROCESSING A RANGE OF CRUDE OILS,IN SERVICE,320,CARTER,34.20492,-97.10442,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING CO OKLAHOMA,86000,72,86000,https://drive.google.com/uc?id=1Kacuh-5TaE_JF3M06NbiDZEZK7fOJQ23
93,PORT ARTHUR,2555 SAVANNAH AVENUE,PORT ARTHUR,TX,VERY LARGE COMPLEX REFINERY,IN SERVICE,1050,JEFFERSON,29.88301,-93.95994,https://www.motiva.com/,MOTIVA ENTERPRISES LLC,MOTIVA ENTERPRISES LLC,603000,1,603000,https://drive.google.com/uc?id=1wS0pdNKesmKBC7gj2sZoNxbWV2c-jev9
94,NORCO,14902 RIVER RD,NORCO,LA,LARGE COMPLEX REFINERY,IN SERVICE,530,ST. CHARLES,29.99255,-90.39446,http://www.valero.com,VALERO ENERGY CORP,VALERO REFINING NEW ORLEANS LLC,215000,33,215000,https://drive.google.com/uc?id=114tn7-HFuOq7_EXkmKX6EzrPdGM8EcZA
95,RICHMOND,841 CHEVRON WAY,RICHMOND,CA,LARGE AND HIGHLY COMPLEX REFINERY,IN SERVICE,1200,CONTRA COSTA,37.94158,-122.39145,https://www.chevron.com/,CHEVRON CORP,CHEVRON USA INC,245271,24,245271,https://drive.google.com/uc?id=1gB7EotHFVGNI-r_M-H5-SgWklnf2xjJd
96,DEER PARK,5900 STATE HIGHWAY 225 EAST,DEER PARK,TX,VERY LARGE COMPLEX REFINERY,IN SERVICE,1519,HARRIS,29.72153,-95.12778,http://www.shell.us,DEER PARK REFINING LTD PTNRSHP,DEER PARK REFINING LTD PARTNERSHIP,325700,12,325700,https://drive.google.com/uc?id=1hUV8Pcg3KL_TGZpz_YsqPZrKjny3Kzpr
97,LOS ANGELES (CARSON PLANT),1801 E SEPULVEDA BLVD,CARSON,CA,LARGE AND VERY COMPLEX REFINERY,IN SERVICE,1021,LOS ANGELES,33.81535,-118.24102,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,269200,18,269200,https://drive.google.com/uc?id=1ICE5o2skU7LM3_VaBadgqwBjiuZsrFaH
98,SHREVEPORT,3333 MIDWAY ST,SHREVEPORT,LA,SPECIALISED PREMIUM BASE AND PROCESS OILS MANUFACTURING REFINERY,IN SERVICE,240,CADDO,32.46693,-93.79254,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET SHREVEPORT LLC,57000,95,57000,https://drive.google.com/uc?id=1XijeivoYecnctJVkthQzdyJOy_hDi2N2
99,CHANNELVIEW,8280 SHELDON ROAD,CHANNELVIEW,TX,ALKYLATION UNIT,IN SERVICE,558,HARRIS,29.83178,-95.11971,http://www.lyondellbasell.com,ACCESS INDUSTRIES,EQUISTAR CHEMICALS LP,0,141,0,https://drive.google.com/uc?id=1d7wLITKABxa7A-lCOor_a-EFhSFRnsAt
100,SUPERIOR,2407 STINSON AVENUE,SUPERIOR,WI,SMALL TO MEDIUM LUBRICANTS REFINERY,IN SERVICE,155,DOUGLAS,46.69135,-92.07186,http://www.calumetspecialty.com,HUSKY ENERGY INC,CALUMET LUBRICANTS CO LP,38000,105,38000,https://drive.google.com/uc?id=1hdBN7eHzwBPCeAu1gNIN03jbNoKxytyq
101,COMMERCE CITY WEST,5801 BRIGHTON BLVD,COMMERCE CITY,CO,MEDIUM COMPLEX REFINERY,IN SERVICE,125,ADAMS,39.80365,-104.94767,http://www.suncor.com,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,67000,89,67000,https://drive.google.com/uc?id=1o92HwpH3SUDnXNskwO8hPJarSNPgeJOT
102,ROBINSON,400 S MARATHON AVE,ROBINSON,IL,LARGE VERY COMPLEX REFINERY,IN SERVICE,690,CRAWFORD,38.99813,-87.71792,https://www.marathonpetroleum.com,MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LP,231000,27,231000,https://drive.google.com/uc?id=1kY5P3FePFILQnlGwjiX1-vgcVYhl5Ozt
103,MCPHERSON,2000 S. MAIN ST,MCPHERSON,KS,SMALL COMPLEX REFINERY,IN SERVICE,465,MCPHERSON,38.34404,-97.67337,http://www.ncra.coop,CHS INC,CHS MCPHERSON REFINERY INC,96000,66,96000,https://drive.google.com/uc?id=16wtb_zESOSjqVkV6qu14CACUXIigEAds
